Id,Wohngebiet,Nachbarschaft,Bedingung1,Wohnungsklasse,Gebauedetyp,Wohnungsstil,Baujahr,Umbaujahr,Hausqualitaet,Hauszustand,Grundstuecksgroesse,Gelaendekontur,Grundstueckanordnung,Strassenlaenge,Fundament,Mauerwerktyp,Mauerwerkflaeche,Verkleidung1,Verkleidung2,Dachtyp,Aussenmaterialqualitaet,Aussenmaterialzustand,Kellerhoehe,Kellerzustand,Kellerbelichtung,Kellerbereich1,Kellerbereichgroesse1,Kellerbereich2,KellerbereichgroesseNAu,KellerbereichgroesseGes,KellerVollbadezimmer,KellerHalbbadezimmer,OberirdischeWohnflaeche,1Stockflaeche,2Stockflaeche,OberirdischeRaueme,Funktionalitaet,OberirdischeVollbadezimmer,OberirdischeHalbbadezimmer,Schlafzimmer,Kuechen,KuechenQualitaet,Kamine,Kaminqualitaet,Heizung,Heizungsqualitaet,Klimalanlage,Elektrik,Holzdeckflaeche,OffeneVerandaflaeche,GeschlosseneVerandaflaeche,3JahreszeitenVerandaflaeche,AbgeschirmteVerandaflaeche,Poolflaeche,Zaunqualitaet,Garagentyp,Garagenbaujahr,Garageninnenausbau,Garagenautos,Garagenflaeche,EinfahrtGepflastert,SondermerkmalWert,Verkaufsmonat,Verkaufsjahr,Verkaufstyp,Verkaufsbedingung,Verkaufspreis
1,WN,Gallus,Norm,20,1Fam,1Sto,1962,1962,3,3,918.54,Ebn,Eck,22.2,Platten,Kein,0.0,ZiegAlg,ZiegAll,Flach,Du,Du,Nan,Nan,Nan,Nan,0.0,Nan,0.0,0.0,0.0,0.0,84.96,84.96,0.0,4,Ger1,1,0,2,1,Ar,0,Nan,GasWD,Ar,N,SichAr,0.0,0.0,0.0,0.0,0.0,0.0,Nan,Abgetr,1966.0,NAu,2.0,47.52,J,0.0,7,2019,GarK,Normal,69700.0
2,WN,Gallus,Norm,20,1Fam,1Sto,2015,2016,5,5,632.16,Ebn,Inn,18.0,BetonGeg,Kein,0.0,Vinyl,Vinyl,Giebel,Du,Du,Ag,Gu,Ke,DWR,88.2,NAu,9.9,98.1,1.0,0.0,98.1,98.1,0.0,5,Typ,1,1,2,1,Du,0,Nan,GasWO,Gu,J,SLSRo,0.0,4.41,0.0,0.0,0.0,0.0,Nan,Verbund,2015.0,Aus,2.0,40.5,J,0.0,6,2017,GarK,Normal,133450.0
3,WN,Eckenhe,Norm,50,1Fam,2Sto,1930,1960,6,5,1960.2,Ebn,Inn,19.8,BetonGeg,Kein,0.0,Holz,HlzSch,Giebel,Du,Du,Ty,Ar,Ke,NAu,0.0,NAu,73.53,73.53,0.0,0.0,139.5,84.6,54.9,7,Ger2,1,1,3,1,Du,1,Du,GasWO,Gu,J,SichAr,0.0,0.0,38.61,0.0,0.0,0.0,MnPrv,Abgetr,1947.0,NAu,1.0,28.62,P,0.0,9,2016,GarK,Normal,165750.0
4,WN,Ginnhei,Norm,60,1Fam,2Sto,2009,2010,6,5,868.41,Ebn,Inn,17.7,BetonGeg,Kein,0.0,Vinyl,Vinyl,Giebel,Du,Du,Gu,Ty,Ke,NAu,0.0,NAu,84.69,84.69,0.0,0.0,147.96,86.49,61.47,7,Typ,2,1,3,1,Du,1,Du,GasWO,Ag,J,SLSRo,41.4,3.78,0.0,0.0,0.0,0.0,Nan,Verbund,2009.0,GAu,2.0,41.4,J,0.0,5,2017,GarK,Normal,157250.0
5,WN,Eckenhe,Norm,70,1Fam,2Sto,1939,1960,8,7,1029.15,Hng,Eck,22.15157712250038,BetonGeg,Kein,0.0,ZiegMau,Stuck,Giebel,Du,Du,Gu,Ty,Ke,NAu,0.0,NAu,71.28,71.28,0.0,0.0,136.53,71.28,65.25,7,Typ,1,0,3,1,Gu,2,Gu,GasWO,Ar,J,SLSRo,0.0,0.0,0.0,0.0,0.0,0.0,Nan,Abgetr,1941.0,NAu,2.0,36.0,J,0.0,6,2016,GarK,Normal,195500.0
6,WN,Nordend,Pos,20,1Fam,1Sto,1980,1980,6,6,1054.53,Ebn,Inn,20.818664714391524,BetonSte,ZiegGla,51.39,Hartfas,Hartfas,Walm,Du,Du,Ty,Ty,Ke,NAu,0.0,NAu,129.78,129.78,0.0,0.0,129.78,129.78,0.0,6,Typ,2,0,2,1,Du,1,Du,GasWO,Du,J,SLSRo,33.39,0.0,0.0,0.0,0.0,0.0,Nan,Verbund,1980.0,GAu,2.0,55.35,J,0.0,2,2019,GarK,Normal,157250.0
7,WN,Sachsen,Zubr,190,2famU,1Sto,1981,2000,5,6,758.25,Ebn,3St,21.0,BetonSte,Kein,0.0,Hartfas,Hartfas,Giebel,Du,Du,Gu,Ty,Du,GWR,67.32,NAu,1.8,69.12,1.0,0.0,78.12,78.12,0.0,6,Typ,1,0,2,1,Du,0,Nan,GasWO,Gu,J,SLSRo,12.42,0.0,0.0,0.0,0.0,0.0,GuPrv,Abgetr,1999.0,NAu,2.0,51.84,J,0.0,5,2017,GarK,Normal,101915.0
8,WN,Sachsen,Hbf,20,1Fam,1Sto,1983,2016,6,7,1144.08,Ebn,SG,12.9,BetonSte,Kein,0.0,Zement,ZementPl,Giebel,Du,Du,Gu,Ty,Mn,DWR,87.12,NAu,6.84,93.96,1.0,0.0,94.95,94.95,0.0,5,Typ,1,0,2,1,Gu,1,Du,GasWO,Du,J,SLSRo,40.95,0.0,0.0,0.0,0.0,0.0,Nan,Verbund,1983.0,GAu,2.0,48.78,J,0.0,1,2017,GarK,Abnormal,124950.0
9,WM,Bornhei,Norm,50,1Fam,1.5V,1951,1960,6,6,540.0,Ebn,Inn,18.0,ZiegFli,Kein,0.0,Holz,Holz,Giebel,Du,Gu,Ty,Gu,Ke,DWR,33.75,NAu,32.4,66.15,0.0,1.0,109.62,78.21,31.41,6,Typ,1,0,3,1,Du,1,Gu,GasWO,Ag,J,SLSRo,0.0,0.0,0.0,0.0,0.0,0.0,Nan,Abgetr,2013.0,NAu,2.0,39.6,J,0.0,3,2017,GarK,Normal,111350.0
10,WM,Eisenba,Norm,50,1Fam,1.5V,1932,2017,4,8,489.24,Ebn,Inn,12.0,ZiegFli,Kein,0.0,Vinyl,Vinyl,Giebel,Du,Gu,Ty,Ty,Ke,UWR,66.15,NAu,5.49,71.64,1.0,0.0,103.86,71.64,32.22,7,Typ,1,0,3,1,Gu,0,Nan,GasWO,Gu,J,SLSRo,0.0,8.64,0.0,0.0,0.0,0.0,MnPrv,Abgetr,1932.0,NAu,1.0,21.6,N,0.0,5,2020,GarK,Normal,106675.0
